symbol,name,asset_type,exchange,source,is_etf
NPKI,NPK International Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
GILT,GILAT SATELLITE NETWORKS LTD,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,stock,NYSE,sec-company-tickers+nasdaq-trader,false
MLTX,MoonLake Immunotherapeutics,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
DMLP,"DORCHESTER MINERALS, L.P.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
WINA,WINMARK CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
VMET,Versamet Royalties Corp,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
GIII,G III APPAREL GROUP LTD /DE/,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MPLT,"MapLight Therapeutics, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ASST,"Strive, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MAN,ManpowerGroup Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
EBCRY,Embracer Group AB/ADR,stock,OTC,sec-company-tickers,false
EYE,"National Vision Holdings, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ARDT,"Ardent Health, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
CMP,COMPASS MINERALS INTERNATIONAL INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
CDRE,"Cadre Holdings, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
NSSC,"NAPCO SECURITY TECHNOLOGIES, INC",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
SPH,SUBURBAN PROPANE PARTNERS LP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
ATLC,Atlanticus Holdings Corp,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CCEC,Capital Clean Energy Carriers Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CXM,"Sprinklr, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
ADTN,"ADTRAN Holdings, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
IPX,IPERIONX Ltd,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
UMH,"UMH PROPERTIES, INC.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
TWO,TWO HARBORS INVESTMENT CORP.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
MUX,McEwen Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
WABC,WESTAMERICA BANCORPORATION,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ARRY,"Array Technologies, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
IDT,IDT CORP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
UAN,"CVR PARTNERS, LP",stock,NYSE,sec-company-tickers+nasdaq-trader,false
ACDC,ProFrac Holding Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
UAMY,UNITED STATES ANTIMONY CORP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
MSDL,Morgan Stanley Direct Lending Fund,stock,NYSE,sec-company-tickers+nasdaq-trader,false
VZLA,Vizsla Silver Corp.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
AVBP,"ArriVent BioPharma, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
FCEL,FUELCELL ENERGY INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CPPKF,Faraday Copper Corp.,stock,OTC,sec-company-tickers,false
CSIQ,Canadian Solar Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
PLTK,Playtika Holding Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
VTOL,Bristow Group Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
ALX,ALEXANDERS INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
COAG,"Hemab Therapeutics Holdings, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
LUCK,Lucky Strike Entertainment Corp,stock,NYSE,sec-company-tickers+nasdaq-trader,false
NBXG,Neuberger Next Generation Connectivity Fund Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
SVV,"Savers Value Village, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
TUYA,Tuya Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
KMTS,"KESTRA MEDICAL TECHNOLOGIES, LTD.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
XPEL,"XPEL, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
PRA,PROASSURANCE CORP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
BHRB,Burke & Herbert Financial Services Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
TEN,TSAKOS ENERGY NAVIGATION LTD,stock,NYSE,sec-company-tickers+nasdaq-trader,false
YELP,YELP INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
BRELY,Brazilian Rare Earths Limited/ADR,stock,OTC,sec-company-tickers,false
HLF,HERBALIFE LTD.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
PEBO,PEOPLES BANCORP INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
TMP,TOMPKINS FINANCIAL CORP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
